xm1_width,xm1_length,xm1_nf,xm1_m,xm2_width,xm2_length,xm2_nf,xm2_m,xm3_width,xm3_length,xm3_nf,xm3_m,xm4_width,xm4_length,xm4_nf,xm4_m,xm5_width,xm5_length,xm5_nf,xm5_m,xm6_width,xm6_length,xm6_nf,xm6_m,xm7_width,xm7_length,xm7_nf,xm7_m,xm8_width,xm8_length,xm8_nf,xm8_m,xm9_width,xm9_length,xm9_nf,xm9_m,xm10_width,xm10_length,xm10_nf,xm10_m,xm11_width,xm11_length,xm11_nf,xm11_m,xm12_width,xm12_length,xm12_nf,xm12_m,xm13_width,xm13_length,xm13_nf,xm13_m,xm14_width,xm14_length,xm14_nf,xm14_m,xm15_width,xm15_length,xm15_nf,xm15_m,xm16_width,xm16_length,xm16_nf,xm16_m,xm17_width,xm17_length,xm17_nf,xm17_m,xm18_width,xm18_length,xm18_nf,xm18_m,xm19_width,xm19_length,xm19_nf,xm19_m,xm1_x1,xm1_y1,xm1_x2,xm1_y2,xm2_x1,xm2_y1,xm2_x2,xm2_y2,xm3_x1,xm3_y1,xm3_x2,xm3_y2,xm4_x1,xm4_y1,xm4_x2,xm4_y2,xm5_x1,xm5_y1,xm5_x2,xm5_y2,xm6_x1,xm6_y1,xm6_x2,xm6_y2,xm7_x1,xm7_y1,xm7_x2,xm7_y2,xm8_x1,xm8_y1,xm8_x2,xm8_y2,xm9_x1,xm9_y1,xm9_x2,xm9_y2,xm10_x1,xm10_y1,xm10_x2,xm10_y2,xm11_x1,xm11_y1,xm11_x2,xm11_y2,xm12_x1,xm12_y1,xm12_x2,xm12_y2,xm13_x1,xm13_y1,xm13_x2,xm13_y2,xm14_x1,xm14_y1,xm14_x2,xm14_y2,xm15_x1,xm15_y1,xm15_x2,xm15_y2,xm16_x1,xm16_y1,xm16_x2,xm16_y2,xm17_x1,xm17_y1,xm17_x2,xm17_y2,xm18_x1,xm18_y1,xm18_x2,xm18_y2,xm19_x1,xm19_y1,xm19_x2,xm19_y2
0.73,0.78,1,1,0.73,0.67,1,1,0.52,0.76,1,1,0.52,0.57,1,1,0.76,0.59,1,1,0.76,0.47,1,1,0.78,0.46,1,1,0.55,0.53,1,1,0.51,0.58,1,1,0.78,0.45,1,1,0.76,0.52,1,1,0.47,0.73,1,1,0.54,0.47,1,1,0.53,0.73,1,1,0.51,0.57,1,1,0.53,0.51,1,1,0.73,0.76,1,1,0.53,0.47,1,1,0.52,0.47,1,1.25,5.233333333333333,1.2769951943314615,6.093333333333334,2.0169951943314617,3.576666666666666,1.3126237963125833,4.326666666666666,2.0526237963125835,4.362222222222223,1.4797169373380084,5.202222222222223,2.009716937338008,5.587777777777777,2.756776283812554,6.237777777777778,3.2867762838125536,3.0122222222222224,2.6555321511895382,3.6822222222222223,3.4255321511895382,4.982222388282154,2.651597503228916,5.532222388282154,3.421597503228916,4.774073436626848,3.4475980041479874,5.314073436626848,4.237598004147987,6.275030392809767,2.752783342190887,6.885030392809767,3.312783342190887,4.055555555555557,3.4669994210956645,4.715555555555557,3.9869994210956645,4.396666666666669,2.6207280752073956,4.926666666666669,3.4107280752073956,3.7453714634289206,2.6711023506334035,4.34537146342892,3.4411023506334035,4.372222222222221,2.078095372850348,5.1822222222222205,2.558095372850348,3.7961111111111108,2.086705164519372,4.346111111111111,2.6367051645193724,5.221666666666666,2.077822489951932,6.031666666666665,2.6178224899519322,3.355610694428659,3.470374799008863,4.005610694428659,3.990374799008863,6.096903469835037,2.171245297412039,6.686903469835037,2.711245297412039,6.12868379350927,1.3936501799153227,6.96868379350927,2.133650179915323,3.1885248382528983,2.0786609037132426,3.738524838252898,2.6186609037132427,5.3605741850479305,3.497089820718983,5.91057418504793,4.157089820718983
0.52,0.54,1,1,0.59,0.52,1,1,0.58,0.59,1,1,0.59,0.54,1,1,0.58,0.47,1,1,0.56,0.47,1,1,0.67,0.56,1,1,0.58,0.63,1,1,0.56,0.47,1,1,0.68,0.57,1,1,0.58,0.68,1,1,0.62,0.57,1,1,0.57,0.55,1,1,0.51,0.54,1,1,0.58,0.58,1,1,0.53,0.62,1,1,0.62,0.56,1,1,0.52,0.57,1,1,0.49,0.56,1,1.25,6.187142857142857,1.2048383969746528,6.807142857142857,1.7348383969746528,4.7785714285714285,1.1605385844120881,5.378571428571428,1.760538584412088,5.443571428571427,1.1406449052064738,6.113571428571427,1.7306449052064736,4.40142857142857,3.1396289061354987,5.0214285714285705,3.739628906135499,4.099999999999999,1.769828493219559,4.649999999999999,2.359828493219559,6.852883568273843,1.7795567147246172,7.402883568273843,2.349556714724617,5.708540254576367,3.2291073984997287,6.348540254576367,3.909107398499729,6.411095549260301,3.165305436006575,7.121095549260301,3.7553054360065747,5.085714285714285,3.2135466271506643,5.635714285714285,3.783546627150664,5.414285714285714,2.4676069956167708,6.064285714285713,3.1576069956167707,4.598390607450854,2.4870661239488214,5.358390607450854,3.0770661239488213,5.457142857142857,1.7742398952412057,6.107142857142858,2.4042398952412056,4.749285714285713,1.8067623171054104,5.379285714285713,2.3867623171054104,6.182857142857143,1.7828292326592508,6.802857142857143,2.302829232659251,6.172437474038632,2.3880113892121035,6.832437474038632,2.9780113892121034,3.7998208317140354,2.50257807944098,4.499820831714035,3.0425780794409802,4.930211172676443,3.8627610100121808,5.5702111726764425,4.492761010012181,6.937659766056431,2.452347588472288,7.587659766056431,2.9823475884722876,5.671733068894588,3.9955331383054578,6.311733068894588,4.618033138305458
0.52,0.77,1,1,0.81,0.51,1,1,0.58,0.67,1,1,0.81,0.48,1,1,0.76,0.59,1,1,0.56,0.67,1,1,0.67,0.56,1,1,0.68,0.63,1,1,0.56,0.59,1,1,0.68,0.81,1,1,0.76,0.62,1,1,0.91,0.49,1,1,0.48,0.68,1,1,0.51,0.82,1,1,0.76,0.81,1,1,0.53,0.76,1,1,0.91,0.49,1,1,0.52,0.57,1,1,0.49,0.67,1,1.25,5.597142857142858,1.6897384038916097,6.4471428571428575,2.2197384038916095,4.128571428571426,1.6116103333234668,4.718571428571426,2.4316103333234667,4.786428571428572,1.6250946832017057,5.536428571428572,2.2150946832017055,2.7014285714285715,2.3185355210082643,3.2614285714285716,3.138535521008264,3.377142857142857,3.2518588917821,4.047142857142857,4.0218588917821005,5.894696779605827,3.5087093126891524,6.644696779605827,4.078709312689153,5.198010694616873,4.002404173420674,5.838010694616873,4.682404173420673,3.3263206686538567,2.3899170378071335,4.036320668653857,3.0799170378071334,4.4628571428571435,3.9925645164329424,5.1328571428571435,4.562564516432943,4.857142857142858,3.222795329023763,5.747142857142857,3.912795329023763,4.103608405921383,3.127470847395541,4.803608405921383,3.897470847395541,4.9485714285714275,2.2583399275644944,5.518571428571428,3.1783399275644943,4.095714285714287,2.5322304831809737,4.855714285714287,3.022230483180974,5.582857142857143,2.313303446650518,6.482857142857142,2.833303446650518,3.4012919589562896,4.131511025207916,4.29129195895629,4.901511025207917,4.190826096686641,1.0097249947575941,5.030826096686641,1.5497249947575942,2.73986507313632,3.271004221903738,3.30986507313632,4.1910042219037384,5.815282644625874,2.910022744639741,6.465282644625875,3.440022744639741,3.3149025520405133,1.6543699844932789,4.064902552040513,2.276869984493279
0.72,0.81,1,1,0.81,0.51,1,1,0.58,0.67,1,1,0.75,0.48,1,1,0.76,0.59,1,1,0.56,0.67,1,1,0.67,0.56,1,1,0.68,0.63,1,1,0.56,0.59,1,1,0.68,0.68,1,1,0.76,0.62,1,1,0.57,0.48,1,1,0.55,0.68,1,1,0.51,0.67,1,1,0.62,0.76,1,1,0.53,0.74,1,1,0.56,0.48,1,1,0.52,0.52,1,1,0.49,0.61,1,1.25,6.25,0.6964806023960302,7.14,1.4264806023960301,4.8125,0.6487240477043509,5.4025,1.468724047704351,5.452499999999999,0.8242229643903998,6.202499999999999,1.4142229643903996,7.092499999999998,2.075605696214181,7.652499999999997,2.8356056962141807,7.295000000000001,2.893056155455822,7.965000000000001,3.663056155455822,6.49893209244109,2.909348443002694,7.24893209244109,3.479348443002694,5.8150768026899815,2.8633118330603935,6.455076802689981,3.5433118330603937,6.325548339429199,2.0964852378145573,7.035548339429199,2.7864852378145573,5.095000000000001,2.9453436016001815,5.765000000000001,3.5153436016001818,5.504999999999999,2.1050347906938387,6.264999999999999,2.7950347906938386,4.751854772265934,2.1218366493433862,5.451854772265934,2.8918366493433862,5.5424999999999995,1.4691218150845513,6.102499999999999,2.0491218150845514,4.709999999999999,1.5257710420825557,5.469999999999999,2.0857710420825555,6.202500000000001,1.488434131506866,6.952500000000001,2.008434131506866,3.809303109662854,1.54891528912067,4.649303109662854,2.17891528912067,3.9343230104227604,0.9136555154968296,4.754323010422761,1.4536555154968296,4.126697203335729,2.2449577831095127,4.686697203335728,2.814957783109513,7.020085748622086,1.4861457097347337,7.620085748622086,2.016145709734734,7.187456783179852,0.7810043531528519,7.877456783179852,1.403504353152852
0.72,0.81,1,1,0.81,0.51,1,1,0.68,0.77,1,1,0.64,0.58,1,1,0.76,0.59,1,1,0.56,0.67,1,1,0.67,0.56,1,1,0.68,0.63,1,1,0.56,0.59,1,1,0.68,0.68,1,1,0.76,0.62,1,1,0.67,0.78,1,1,0.52,0.68,1,1,0.51,0.67,1,1,0.62,0.76,1,1,0.53,0.74,1,1,0.56,0.48,1,1,0.52,0.52,1,1,0.59,0.61,1,1.25,5.7125,1.0801825969546364,6.6025,1.8101825969546363,4.162500000000001,1.037318355824015,4.752500000000001,1.8573183558240152,4.802500000000001,1.0613898956556316,5.652500000000001,1.7513898956556315,6.03,3.3345128626909384,6.69,3.9845128626909383,3.4200000000000004,2.494708093067108,4.09,3.264708093067108,2.6182093384564764,2.587747743612156,3.3682093384564764,3.1577477436121564,3.8578113078635616,3.3267105358635467,4.497811307863562,4.006710535863546,5.278774883281269,3.3213843303064507,5.988774883281269,4.011384330306451,4.5575,3.335216052567076,5.2275,3.9052160525670763,4.892499999999999,2.548728347304682,5.652499999999999,3.238728347304682,4.146533820255212,2.51837984901121,4.846533820255212,3.28837984901121,4.805000000000001,1.8040496762044393,5.665000000000001,2.4840496762044393,4.01,1.9167278046302711,4.77,2.446727804630271,5.715,1.8945446215921267,6.465,2.4145446215921265,6.448281124845919,2.532503293892978,7.288281124845919,3.162503293892978,3.1099196682795656,1.886256936341463,3.9299196682795654,2.426256936341463,3.232751459815891,3.364646927387953,3.792751459815891,3.934646927387953,3.502628969104106,1.2934311735049908,4.102628969104106,1.8234311735049908,5.7038808601986055,2.498406081776343,6.393880860198605,3.245906081776343
0.72,0.81,1,1,0.81,0.51,1,1,0.68,0.77,1,1,0.64,0.58,1,1,0.76,0.59,1,1,0.56,0.67,1,1,0.67,0.56,1,1,0.68,0.63,1,1,0.56,0.59,1,1,0.68,0.68,1,1,0.76,0.62,1,1,0.67,0.78,1,1,0.52,0.68,1,1,0.51,0.67,1,1,0.62,0.76,1,1,0.53,0.74,1,1,0.56,0.48,1,1,0.52,0.52,1,1,0.59,0.61,1,1.25,5.377777777777777,1.7995167412917137,6.267777777777777,2.5295167412917134,3.833333333333334,1.7362290646777785,4.423333333333334,2.5562290646777788,4.465000000000001,1.7607203985412443,5.315,2.4507203985412445,3.1188888888888893,1.8338930208412518,3.778888888888889,2.483893020841252,5.3755555555555565,3.1222483694197365,6.0455555555555565,3.8922483694197365,2.9785864073450017,3.2352956631109424,3.7285864073450017,3.8052956631109423,4.877529754577305,3.9616105564478667,5.517529754577304,4.6416105564478665,2.3641869465703147,1.8091215652465025,3.0741869465703147,2.4991215652465026,4.1755555555555555,4.027714043370421,4.845555555555555,4.597714043370421,4.53,3.2118103588607703,5.29,3.90181035886077,3.7668493078735525,3.2201115578362716,4.466849307873552,3.9901115578362716,4.474444444444445,2.5007495877755512,5.334444444444445,3.1807495877755514,3.6655555555555557,2.620555953130371,4.4255555555555555,3.150555953130371,5.370555555555556,2.564300789480032,6.120555555555556,3.084300789480032,2.7773980138539294,2.5495405294049953,3.6173980138539292,3.179540529404995,3.691845390985333,4.642312698030734,4.511845390985333,5.182312698030734,5.561333942265767,4.001940393024171,6.121333942265767,4.571940393024171,3.521167689665578,4.030993581932082,4.121167689665578,4.560993581932082,2.786127615933392,3.859121261045821,3.476127615933392,4.606621261045821
0.62,0.58,1,1,0.71,0.51,1,1,0.82,0.68,1,1,0.64,0.58,1,1,0.76,0.59,1,1,0.56,0.67,1,1,0.67,0.56,1,1,0.68,0.63,1,1,0.56,0.59,1,1,0.57,0.72,1,1,0.76,0.62,1,1,0.67,0.78,1,1,0.62,0.87,1,1,0.51,0.67,1,1,0.62,0.76,1,1,0.53,0.74,1,1,0.76,0.68,1,1,0.62,0.78,1,1,0.59,0.71,1,1.25,5.133333333333333,0.649003187356431,5.793333333333333,1.2790031873564311,3.6144444444444446,0.3756437705444061,4.204444444444444,1.095643770544406,4.28,0.3625585454164025,5.04,1.1925585454164025,4.655555555555555,2.697575980853298,5.315555555555555,3.347575980853298,5.112222222222222,1.8715636992252345,5.782222222222222,2.6415636992252347,2.6895613787619923,1.8866977592875007,3.4395613787619923,2.4566977592875006,3.239367659254401,2.6474637620645334,3.879367659254401,3.3274637620645335,5.368591910248137,2.701233195491935,6.078591910248137,3.391233195491935,3.934444444444445,2.644960852810842,4.604444444444445,3.214960852810842,4.237777777777777,1.9882073006768421,5.037777777777777,2.568207300676842,3.477860364650323,1.8272593972504054,4.177860364650323,2.597259397250405,4.222222222222223,1.247913610845407,5.0822222222222235,1.927913610845407,3.2405555555555554,1.1562095772022496,4.190555555555555,1.7862095772022495,5.118333333333333,1.3140137832453767,5.868333333333333,1.8340137832453767,5.91515549601892,1.2502971428282668,6.7551554960189195,1.8802971428282667,2.715920805054472,0.5580043344347392,3.535920805054472,1.0980043344347392,5.842149993750959,0.42791291295120515,6.602149993750959,1.1979129129512052,2.315895043586803,1.17566818412913,3.1758950435868027,1.80566818412913,5.833243630088843,1.9118318473512848,6.623243630088843,2.6593318473512846
0.62,0.58,1,1,0.71,0.51,1,1,0.82,0.68,1,1,0.64,0.58,1,1,0.76,0.59,1,1,0.56,0.67,1,1,0.67,0.56,1,1,0.68,0.63,1,1,0.56,0.58,1,1,0.67,0.72,1,1,0.56,0.62,1,1,0.67,0.78,1,1,0.62,0.87,1,1,0.51,0.68,1,1,0.62,0.76,1,1,0.63,0.71,1,1,0.57,0.68,1,1,0.62,0.78,1,1,0.59,0.71,1,1.25,5.911111111111111,1.3314330905835419,6.571111111111112,1.961433090583542,4.470000000000001,1.2256728095257885,5.0600000000000005,1.9456728095257885,5.113333333333333,1.1354774541430057,5.873333333333333,1.9654774541430058,6.144444444444445,3.459808163530638,6.804444444444445,4.109808163530638,6.845555555555555,2.607746262710841,7.515555555555555,3.377746262710841,3.514160219166725,2.709621440817224,4.264160219166725,3.279621440817224,4.010311691150807,3.376500943496307,4.650311691150807,4.056500943496307,5.394953477880188,3.4373007690483965,6.104953477880188,4.1273007690483965,4.688888888888888,3.46374962249232,5.348888888888888,4.03374962249232,5.104444444444444,2.7200173848723033,5.904444444444444,3.4000173848723034,4.349349546770789,2.706422119068928,5.049349546770789,3.276422119068928,5.0777777777777775,2.0073273763328956,5.937777777777778,2.6873273763328958,4.085,2.000803564663165,5.035,2.630803564663165,5.9799999999999995,2.01897235088693,6.739999999999999,2.53897235088693,6.626536803205589,1.2404172419903006,7.466536803205589,1.8704172419903005,6.778309560538336,1.9147109760549281,7.568309560538336,2.554710976054928,3.258927736015853,2.0564760786098475,4.018927736015853,2.6364760786098476,3.554600732524773,1.308049303100638,4.414600732524773,1.9380493031006378,5.987820652913264,2.623630019510475,6.777820652913264,3.371130019510475
0.82,0.76,1,1,0.78,0.85,1,1,0.62,0.76,1,1,0.62,0.57,1,1,0.76,0.59,1,1,0.56,0.67,1,1,0.67,0.56,1,1,0.75,0.53,1,1,0.56,0.68,1,1,0.77,0.54,1,1,0.56,0.52,1,1,0.67,0.78,1,1,0.62,0.87,1,1,0.82,0.78,1,1,0.67,0.67,1,1,0.63,0.71,1,1,0.57,0.76,1,1,0.76,0.82,1,1,0.82,0.72,1,1.25,5.401111111111111,1.04149231452784,6.241111111111111,1.8714923145278402,3.544444444444445,1.1996493030306394,4.474444444444445,1.9896493030306395,4.521111111111112,1.2677755020842267,5.361111111111112,1.8977755020842269,2.8133333333333335,2.0317981399712735,3.4633333333333334,2.6617981399712733,2.815555555555555,1.2332809556793933,3.485555555555555,2.0032809556793936,2.0276964728050038,1.3206908728715043,2.7776964728050038,1.8906908728715044,3.4128048160646065,3.4072867468243553,4.052804816064606,4.087286746824355,2.1600600763800104,1.935183956685584,2.7700600763800103,2.695183956685584,4.114444444444445,3.51390159603241,4.874444444444444,4.08390159603241,4.532222222222222,2.6844370966030304,5.152222222222222,3.4644370966030307,3.8760325247639953,2.7349344603000483,4.476032524763995,3.304934460300048,4.514444444444445,1.9513207480219725,5.374444444444445,2.6313207480219725,3.5105555555555554,2.043859394819681,4.460555555555556,2.6738593948196807,5.3999999999999995,1.9045848266381356,6.26,2.7345848266381356,6.073954944825873,2.8069251697270245,6.823954944825873,3.4869251697270247,3.015038834527046,2.7120058134631244,3.805038834527046,3.3520058134631245,2.530421054690772,3.541255446924792,3.370421054690772,4.121255446924792,2.0398220401433216,2.723616457463778,2.9398220401433215,3.493616457463778,5.2151862835556155,2.7913421932476097,6.015186283555615,3.8263421932476094
0.52,0.77,1,1,0.81,0.51,1,1,0.58,0.67,1,1,0.81,0.48,1,1,0.76,0.59,1,1,0.56,0.67,1,1,0.67,0.56,1,1,0.68,0.63,1,1,0.56,0.59,1,1,0.68,0.81,1,1,0.76,0.62,1,1,0.91,0.49,1,1,0.48,0.68,1,1,0.51,0.82,1,1,0.76,0.81,1,1,0.53,0.76,1,1,0.91,0.49,1,1,0.52,0.57,1,1,0.49,0.67,1,1.25,5.597142857142858,1.0635623086246935,6.4471428571428575,1.5935623086246935,4.114285714285715,0.9791425210945198,4.704285714285715,1.7991425210945198,4.772142857142858,1.019347172980076,5.522142857142858,1.6093471729800761,3.487142857142857,0.9425515959256635,4.047142857142857,1.7625515959256637,5.705714285714286,2.847069368898474,6.375714285714286,3.617069368898474,6.432657996089248,2.935564259897573,7.182657996089248,3.5055642598975734,3.6628721451434956,3.3076992635653015,4.302872145143495,3.9876992635653017,6.507905839413976,0.8869133497622359,7.217905839413976,1.5769133497622358,4.348571428571429,3.373830419093102,5.018571428571429,3.9438304190931017,4.742857142857143,2.6353496488658052,5.632857142857143,3.325349648865805,3.9838793403145085,2.4390359723440866,4.683879340314508,3.2090359723440867,4.777142857142858,1.6599337279856798,5.347142857142858,2.5799337279856798,3.967142857142857,1.8580109473341966,4.727142857142857,2.3480109473341964,5.397142857142857,1.642546797319275,6.297142857142857,2.1625467973192753,3.0003295112916724,2.076012946523681,3.8903295112916725,2.846012946523681,6.373090513917669,1.6555384741420482,7.213090513917669,2.1955384741420483,5.07248499819413,3.3827142534937713,5.6424849981941305,4.302714253493772,5.695291820429073,2.2450997805543595,6.345291820429074,2.77509978055436,6.434786406256343,2.237756181850604,7.184786406256343,2.860256181850604
